type,time
SMALL_FALSE_IN_BBOX,0.00026110204998985864
SMALL_CONTAINS,0.00018626809996931116
SMALL_FALSE_IN_BBOX,0.00018568215000414057
SMALL_TRUE_NO_CONTAINS,0.00019767154999499325
SMALL_FALSE_IN_BBOX,0.00015826045000721933
SMALL_CONTAINS,0.00022138515000733606
SMALL_FALSE_IN_BBOX,0.0001757263500167028
SMALL_TRUE_NO_CONTAINS,0.0001947595999808982
SMALL_TRUE_NO_CONTAINS,0.0001753346499754116
SMALL_FALSE_IN_BBOX,0.00016237295003520557
SMALL_FALSE_IN_BBOX,0.00013141265003469016
SMALL_TRUE_NO_CONTAINS,0.00016794275002212088
SMALL_TRUE_NO_CONTAINS,0.00014666479996776615
SMALL_CONTAINS,0.00015410799996971037
SMALL_CONTAINS,0.0001524858500033588
SMALL_TRUE_NO_CONTAINS,0.00017989339999076038
SMALL_FALSE_IN_BBOX,0.00015792489998602832
SMALL_TRUE_NO_CONTAINS,0.00015703005001341808
SMALL_TRUE_NO_CONTAINS,0.00014410695002879946
SMALL_CONTAINS,0.00017689189999146038
SMALL_TRUE_NO_CONTAINS,0.00012098484999114589
SMALL_CONTAINS,0.0001313900500008458
SMALL_TRUE_NO_CONTAINS,0.00012098735001018213
SMALL_TRUE_NO_CONTAINS,0.00027421924996815503
SMALL_TRUE_NO_CONTAINS,0.00015572444999634172
SMALL_FALSE_IN_BBOX,0.0001879127999927732
SMALL_FALSE_IN_BBOX,0.00010574579996500689
SMALL_TRUE_NO_CONTAINS,0.0001797094500034291
SMALL_FALSE_IN_BBOX,0.00015055214998938027
SMALL_TRUE_NO_CONTAINS,0.00012829550000788005
SMALL_FALSE_IN_BBOX,0.00010628754998833755
SMALL_FALSE_IN_BBOX,0.00017377555000166466
SMALL_FALSE_IN_BBOX,0.0001410531499914214
SMALL_CONTAINS,0.0001300412499858794
SMALL_TRUE_NO_CONTAINS,0.00011843665001833869
SMALL_FALSE_IN_BBOX,0.0001133481999659125
SMALL_FALSE_IN_BBOX,0.0002164344999982859
SMALL_FALSE_IN_BBOX,0.0001349293499970372
SMALL_FALSE_IN_BBOX,0.00013470010003402422
SMALL_TRUE_NO_CONTAINS,0.00012148074997639924
SMALL_TRUE_NO_CONTAINS,0.00017385685000590457
SMALL_TRUE_NO_CONTAINS,0.00013065959997220488
SMALL_TRUE_NO_CONTAINS,0.00013651355002366471
SMALL_FALSE_IN_BBOX,0.00013130084998920212
SMALL_CONTAINS,0.00012868414996773935
SMALL_FALSE_IN_BBOX,0.0001437223500033724
SMALL_TRUE_NO_CONTAINS,0.00011889924999195501
SMALL_FALSE_IN_BBOX,0.00010587540000415175
SMALL_CONTAINS,0.00013954900000499038
SMALL_FALSE_IN_BBOX,0.0001151587500316964
SMALL_TRUE_NO_CONTAINS,0.0002538992000154394
SMALL_FALSE_IN_BBOX,0.00013280395000947465
SMALL_TRUE_NO_CONTAINS,0.00015784700003678153
SMALL_CONTAINS,0.0001906751499973325
SMALL_CONTAINS,0.00014378144996953778
SMALL_TRUE_NO_CONTAINS,0.00011834494998765876
SMALL_TRUE_NO_CONTAINS,0.0001363358000162407
SMALL_FALSE_IN_BBOX,0.00010560344999248628
SMALL_TRUE_NO_CONTAINS,0.00020003509998787195
SMALL_TRUE_NO_CONTAINS,0.00013920845003667637
SMALL_TRUE_NO_CONTAINS,0.00012916495002173177
SMALL_TRUE_NO_CONTAINS,0.0001223472500441858
SMALL_TRUE_NO_CONTAINS,0.0002098611500059633
SMALL_TRUE_NO_CONTAINS,0.00012488965003285558
SMALL_TRUE_NO_CONTAINS,0.0001426941500085377
SMALL_CONTAINS,0.0001347384999917267
SMALL_FALSE_IN_BBOX,0.0001382813499731128
SMALL_FALSE_IN_BBOX,0.0001066928500222275
SMALL_TRUE_NO_CONTAINS,0.00013588554998023028
SMALL_TRUE_NO_CONTAINS,0.00011824845000774076
SMALL_TRUE_NO_CONTAINS,0.00011860370000249532
SMALL_FALSE_IN_BBOX,0.00012907410000480014
SMALL_TRUE_NO_CONTAINS,0.00011586665000322683
SMALL_TRUE_NO_CONTAINS,0.0001163039500170271
SMALL_TRUE_NO_CONTAINS,0.00011600805000853143
SMALL_TRUE_NO_CONTAINS,0.00013417975001175363
SMALL_TRUE_NO_CONTAINS,0.00015501474999837228
SMALL_TRUE_NO_CONTAINS,0.0001953266999862535
SMALL_TRUE_NO_CONTAINS,0.0001381555499847309
SMALL_FALSE_IN_BBOX,0.0001062629999978526
SMALL_TRUE_NO_CONTAINS,0.00013091400001030706
SMALL_TRUE_NO_CONTAINS,0.00015150045001064428
SMALL_FALSE_IN_BBOX,0.00011468094999145251
SMALL_CONTAINS,0.00012806029999410385
SMALL_TRUE_NO_CONTAINS,0.00011799674998655974
SMALL_FALSE_IN_BBOX,0.0001460212500205671
SMALL_TRUE_NO_CONTAINS,0.00013581340003838706
SMALL_TRUE_NO_CONTAINS,0.00014125540001259652
SMALL_TRUE_NO_CONTAINS,0.00012093150003238407
SMALL_TRUE_NO_CONTAINS,0.0001402151499860338
SMALL_TRUE_NO_CONTAINS,0.00016460599999845726
SMALL_TRUE_NO_CONTAINS,0.00014190110000527055
SMALL_FALSE_IN_BBOX,0.00014304960000117718
SMALL_FALSE_IN_BBOX,0.00012114185001337319
SMALL_TRUE_NO_CONTAINS,0.00016119054998853244
SMALL_CONTAINS,0.00012807869998141542
SMALL_TRUE_NO_CONTAINS,0.00013024790000599752
