,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",4.054099997574667e-05,4.404399999202724e-05,477,675,6.036799993580644e-05,3.053500006444665e-05,4.496200006087747e-05,3.0302000027404574e-05,6.011499999658554e-05,0.00013654400004270428
1,8771,"(15773, 8337)",2.692399993975414e-05,1.069000006737042e-05,125,169,2.042699998128228e-05,1.5994000023056287e-05,1.751600007082743e-05,4.799400005595089e-05,3.889800007073063e-05,0.00013607799996862013
2,2856,"(15910, 12094)",2.376400004777679e-05,1.0103000022354536e-05,189,261,4.716600005849614e-05,3.38339999643722e-05,1.7635000062909967e-05,3.1463000027542876e-05,3.580199995667499e-05,2.6912000066658948e-05
3,13344,"(12030, 5184)",4.2828999994526384e-05,1.8365000073572446e-05,445,618,2.182999992328405e-05,1.6623999954390456e-05,1.875099997050711e-05,2.419800000552641e-05,2.5422000021535496e-05,2.2331999957714288e-05
4,8734,"(14983, 16287)",2.3190999968392134e-05,1.138699997227377e-05,157,216,2.133899999989808e-05,1.681100002315361e-05,1.85310000233585e-05,2.2994999994807586e-05,2.4272000018754625e-05,2.245200005290826e-05
5,3529,"(2127, 4354)",2.4234000079559337e-05,1.0307000025022717e-05,301,420,4.961399997682747e-05,3.5225000033278775e-05,6.929699998181604e-05,2.825499996106373e-05,2.4478999989696604e-05,2.3327999997491133e-05
6,1250,"(4727, 14250)",2.5078000021494518e-05,1.0993000046255474e-05,525,738,2.695600005608867e-05,1.838499997575127e-05,3.823100007593894e-05,4.8821000063981046e-05,2.4553999992349418e-05,2.3096000063560496e-05
7,12423,"(1621, 11816)",2.3101000010683492e-05,1.1025000048903166e-05,41,57,1.9050999981118366e-05,1.559599991196592e-05,1.6656000070724986e-05,2.0054000060554245e-05,2.4382999981753528e-05,2.3216999920805392e-05
8,10885,"(12890, 16155)",2.3088000034476863e-05,9.92700006463565e-06,89,122,1.8107999949279474e-05,1.4359000033437042e-05,1.6033999941100774e-05,2.0355999936327862e-05,2.4433999897155445e-05,2.29359999366352e-05
9,11167,"(6912, 6854)",2.638799992382701e-05,1.0624999958963599e-05,381,537,1.8664999970496865e-05,1.4981000049374416e-05,1.7138999965027324e-05,2.2081999986767187e-05,2.4979999921015406e-05,2.354799994463974e-05
10,1700,"(10765, 824)",2.5915000037457503e-05,1.0191999990638578e-05,189,260,1.8494999949325575e-05,1.4642999985881033e-05,1.6666999954395578e-05,2.0509000023594126e-05,2.420700002403464e-05,2.2987999955148553e-05
11,5231,"(6865, 7480)",2.3746000010760326e-05,1.007599996682984e-05,173,239,1.8549999936112727e-05,1.4835999991191784e-05,1.6680999920026807e-05,2.0382000002427958e-05,2.4566999968556047e-05,2.3123999994822952e-05
12,4425,"(5608, 4160)",2.3976999955266365e-05,9.903999966809351e-06,285,399,1.8775000057758007e-05,1.4716000009684649e-05,1.6586000015195168e-05,2.1366000055422774e-05,2.412800006368343e-05,2.2769999986849143e-05
13,11049,"(8588, 8110)",2.2768000007999945e-05,1.0074999977405241e-05,93,123,1.8184000055043725e-05,1.4309999983197486e-05,1.6705999996702303e-05,2.0285999994484882e-05,2.403999997113715e-05,2.287500001330045e-05
14,10937,"(14267, 4482)",2.3592999923494062e-05,9.981000061998202e-06,201,282,1.820199997837335e-05,1.4492999980575405e-05,1.644700000724697e-05,2.0990999928471865e-05,2.4765000034676632e-05,2.35950000160301e-05
15,8033,"(12533, 12403)",2.1414000002550893e-05,9.542000043438748e-06,41,56,1.854499998898973e-05,3.221100007522182e-05,1.6136999988702883e-05,1.936899991505925e-05,2.440200000819459e-05,2.251099999739381e-05
16,5366,"(6238, 179)",2.2065999928599922e-05,1.007799994567904e-05,93,124,1.8528000055084703e-05,1.4774000078432437e-05,1.6291000065393746e-05,2.019700002620084e-05,2.4418000066361856e-05,2.3099000031834294e-05
17,54,"(2092, 7438)",3.661800008103455e-05,1.006599995889701e-05,57,80,1.785999995718157e-05,1.4569999962077418e-05,1.583300002039323e-05,1.9541999904504337e-05,2.456000004258385e-05,2.2583000031772826e-05
18,14295,"(5243, 8089)",2.1511999989343167e-05,9.382000030200288e-06,57,79,1.7692000028546317e-05,1.4256999975259532e-05,1.6204000075958902e-05,1.950099999703525e-05,2.4258999928861158e-05,2.2747999992134282e-05
19,2870,"(1760, 16332)",2.33430000662338e-05,1.03720000197427e-05,221,308,1.8547000081525766e-05,1.5010999959486071e-05,1.766599996244622e-05,2.1318999984032416e-05,2.319500003977737e-05,2.1662000108335633e-05
20,12373,"(11184, 11058)",3.8098999993962934e-05,1.025799997478316e-05,361,513,1.8582000052447256e-05,1.4814999985901522e-05,1.643600000988954e-05,2.170000004753092e-05,2.4182000061045983e-05,2.2758000000067113e-05
21,2289,"(6677, 12833)",3.553899989583442e-05,1.0161999966840085e-05,93,125,1.865899992026243e-05,1.505500006260263e-05,1.661700002841826e-05,2.063299996279966e-05,2.431499990507291e-05,2.3198000008051167e-05
22,216,"(13019, 2113)",2.3842000018703402e-05,1.0137000003851426e-05,73,102,4.942999999002495e-05,3.197299997736991e-05,1.6062999975474668e-05,1.993699993363407e-05,2.325100001598912e-05,2.1650999997291365e-05
23,10336,"(10190, 12460)",2.3414999986925977e-05,1.0290999966855452e-05,125,169,4.895699998996861e-05,3.485600007024914e-05,1.7179999986183248e-05,5.353200003810343e-05,2.7339999974174134e-05,0.00014487399994322914
24,14690,"(5935, 13874)",2.2367999918060377e-05,1.0051000003841182e-05,57,79,1.8012000055023236e-05,1.4562000046680623e-05,1.5769000015097845e-05,1.9640999994408048e-05,2.9856999958610686e-05,2.6229000013699988e-05
25,3343,"(5726, 10724)",2.1432000039567356e-05,9.383000019624887e-06,41,57,1.7662000004747824e-05,1.4252000028136536e-05,1.5665999967495736e-05,1.8963999991683522e-05,2.541999992899946e-05,2.350399995521002e-05
26,1438,"(7387, 11723)",2.2359000013238983e-05,9.738000017023296e-06,93,125,1.821699993342918e-05,1.4544999999088759e-05,1.9415999986449606e-05,2.0007999978588487e-05,2.4678000045241788e-05,2.272599999741942e-05
27,3039,"(1225, 6065)",3.221699989808258e-05,9.444999932384235e-06,41,56,1.7752999951881065e-05,1.4297000006990856e-05,1.5777000044181477e-05,1.9144000020787644e-05,2.456200002143305e-05,2.346700000543933e-05
28,4658,"(14333, 11195)",2.3391000013361918e-05,1.033700004882121e-05,157,216,1.846599991495168e-05,1.4767999914511165e-05,1.6684999991412042e-05,2.0752000068569032e-05,2.4137000082191662e-05,2.281899992340186e-05
29,4136,"(15010, 3599)",2.9773000051136478e-05,9.986999998545798e-06,173,239,1.8701999920267554e-05,1.4596000028177514e-05,1.651599995966535e-05,2.1080000010442745e-05,2.414200002931466e-05,2.2780999984206574e-05
30,695,"(604, 16308)",3.459300000940857e-05,1.0241000040878134e-05,137,193,1.77590000021155e-05,1.4562999922418385e-05,1.5978999954313622e-05,2.042400001300848e-05,2.3532000000159314e-05,2.1608999986710842e-05
31,9561,"(603, 1868)",3.5397000033299264e-05,9.305000048698275e-06,41,57,1.7249000052288466e-05,1.4134000025478599e-05,1.561200008382002e-05,1.8957000065711327e-05,2.297899993664032e-05,2.1617999891532236e-05
32,14111,"(13153, 2054)",3.4450000043761975e-05,9.237999961442256e-06,57,79,4.751099993427488e-05,3.149200006191677e-05,1.613899996755208e-05,1.970899995740183e-05,2.343200003451784e-05,2.2122999894236273e-05
