,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",0.0001260700000784709,0.0002443479999101328,153,609,0.00018072199998186989,0.0001003250000621847,8.996400003979943e-05,0.00023015600004328007,0.00033238299999993615,0.00045258299996930873
1,8771,"(15773, 8337)",7.395900001938571e-05,8.008999998310173e-05,95,153,8.584199997585529e-05,7.034899999780464e-05,7.080000000314612e-05,0.00011733199994523602,0.00017342000001008273,0.00026040599993848446
2,2856,"(15910, 12094)",7.072400001106871e-05,6.230099995718774e-05,114,239,7.64579999668058e-05,6.65019999814831e-05,8.569199997054966e-05,0.00011525200000050972,0.0001189729999850897,9.650200001942721e-05
3,13344,"(12030, 5184)",8.299099999931059e-05,6.974399991577229e-05,178,563,8.558599995467375e-05,7.415499999297026e-05,7.51309999031946e-05,0.00013066700000763376,9.132000002409768e-05,8.373900004698953e-05
4,8734,"(14983, 16287)",6.906000010076241e-05,6.410200001027988e-05,101,194,7.741699994312512e-05,6.657699998413591e-05,6.706499993924808e-05,0.00011164000000007945,0.00014455000007274066,9.390900004291325e-05
5,3529,"(2127, 4354)",7.640999990599084e-05,6.602799999200215e-05,139,385,7.922999998299929e-05,6.908399996063963e-05,7.0898999979363e-05,0.00012046200004078855,9.236200003215345e-05,8.816499996555649e-05
6,1250,"(4727, 14250)",8.406699998886324e-05,7.002800009558996e-05,194,669,8.561599997847225e-05,7.64860000117551e-05,7.614200001171412e-05,0.00013378500000271742,0.00010197399990374834,9.650200001942721e-05
7,12423,"(1621, 11816)",5.9639000028255396e-05,5.645300007017795e-05,62,53,6.799900006626558e-05,5.912500000704313e-05,5.9900999985984527e-05,9.700299995074602e-05,9.378200002174708e-05,8.94250000555985e-05
8,10885,"(12890, 16155)",6.2956999954622e-05,5.9151999948880984e-05,88,116,7.144199992126232e-05,6.24880000259509e-05,6.267399999160261e-05,0.0001042290000441426,9.041999999226391e-05,8.646499998121726e-05
9,11167,"(6912, 6854)",7.709400006206124e-05,6.691300006878009e-05,167,486,8.207300004414719e-05,7.122399995296291e-05,7.184599996890029e-05,0.00012536399992768565,0.00010278799993557186,9.68179999745189e-05
10,1700,"(10765, 824)",6.82950000054916e-05,6.0497999925246404e-05,118,240,7.537800001955475e-05,6.427300002087577e-05,6.55830000368951e-05,0.00011060799999995652,0.0001401819999955478,9.376899993185361e-05
11,5231,"(6865, 7480)",6.696699995245581e-05,6.0211999993953214e-05,107,217,7.236800001919619e-05,6.331500003398105e-05,6.468500009759737e-05,0.00010816899998644658,0.0001225910000357544,0.00010948999999982334
12,4425,"(5608, 4160)",7.234299994252069e-05,6.510100001833052e-05,141,363,7.763899998280976e-05,6.772799997634138e-05,6.797100002131629e-05,0.00011783399997966626,9.659299996656046e-05,9.087699993415299e-05
13,11049,"(8588, 8110)",6.213799997567548e-05,5.611400001725997e-05,82,115,6.97079999554262e-05,6.0037000025658926e-05,6.170999995447346e-05,0.00010386099995685072,9.331700005077437e-05,8.852799999203853e-05
14,10937,"(14267, 4482)",6.901899996591965e-05,6.301700000221899e-05,126,261,8.146900006522628e-05,6.644199993388611e-05,6.647600002906984e-05,0.00011743900006422336,0.00010193399998570385,9.853699998529919e-05
15,8033,"(12533, 12403)",5.9378000059950864e-05,5.410300002495205e-05,63,53,6.658699999206874e-05,5.757399992489809e-05,5.925499999648309e-05,9.766900006979995e-05,9.038600001076702e-05,8.623400003671122e-05
16,5366,"(6238, 179)",6.275300006564066e-05,5.506100001184677e-05,84,115,6.966699993427028e-05,6.570599998667603e-05,7.23079999715992e-05,0.00010830600001554558,9.240800000043237e-05,8.779899997080065e-05
17,54,"(2092, 7438)",5.989800001771073e-05,5.363000002489571e-05,71,73,6.81830000530681e-05,5.8602999956747226e-05,5.939599998328049e-05,9.719199999835837e-05,9.062699996320589e-05,8.572100000492355e-05
18,14295,"(5243, 8089)",5.766000003859517e-05,5.294599998251215e-05,63,74,6.726100002651947e-05,5.876700004137092e-05,6.178000001000328e-05,9.865200001968333e-05,0.00010102699991421105,9.478699996634532e-05
19,2870,"(1760, 16332)",6.771399989702331e-05,6.240700008675049e-05,125,282,7.834699999875738e-05,6.797399998959008e-05,6.954799994218774e-05,0.00011906800000360818,9.156299995538575e-05,8.700199998656899e-05
20,12373,"(11184, 11058)",7.559799996670336e-05,6.612999993649282e-05,171,467,9.096099995531404e-05,7.862900008603901e-05,8.419300002060481e-05,0.00013151299992841814,8.961399998952402e-05,8.548400001018308e-05
21,2289,"(6677, 12833)",6.124000003637775e-05,8.327700004429062e-05,80,114,9.44610000033208e-05,7.264199996370735e-05,7.551800001692754e-05,0.000127664999922672,0.00010100200006490923,9.504100000867766e-05
22,216,"(13019, 2113)",5.900500002553599e-05,8.053499993820878e-05,78,95,9.786199996142386e-05,6.824800004778808e-05,6.830200004515063e-05,0.00011783799993736466,9.582199993474205e-05,0.00014881499998864456
23,10336,"(10190, 12460)",6.340899994938809e-05,6.34010000339913e-05,93,156,7.564199995613308e-05,6.58089999205913e-05,6.605400005810225e-05,0.00011201200004506973,0.00010826799996266345,0.00011323599994739197
24,14690,"(5935, 13874)",5.8945999967363605e-05,5.605799992736138e-05,69,74,6.96230000585274e-05,6.0211000004528614e-05,6.110199990416731e-05,0.00010042000008070318,0.00044667800000297575,0.00028915600000800623
25,3343,"(5726, 10724)",5.6504999975004466e-05,5.442399992716673e-05,61,52,6.899599998178019e-05,5.8661000025495014e-05,6.0199000017746584e-05,9.79799999640818e-05,0.0002450620000900017,0.00010338599997794518
26,1438,"(7387, 11723)",6.399400001555478e-05,5.704599993805459e-05,84,115,7.096799993178138e-05,6.15809999544581e-05,6.254999993871024e-05,0.00010259999999107094,0.00015699400000812602,9.435900005883013e-05
27,3039,"(1225, 6065)",6.823299997904542e-05,5.353899996407563e-05,60,52,6.750700003976817e-05,5.7769000022744876e-05,5.939999994097889e-05,9.782300003280398e-05,9.835799994561967e-05,0.00023149300000113726
28,4658,"(14333, 11195)",9.36870000032286e-05,6.263499994929589e-05,104,195,7.581799991385196e-05,6.602199994176772e-05,7.036299996343587e-05,0.00011326099991038063,0.00010896700007378968,0.00013627199996335548
29,4136,"(15010, 3599)",0.00010544700000991725,6.166200000734534e-05,107,218,7.682299997213704e-05,6.668200001058722e-05,6.685100004233391e-05,0.00011269699996319105,0.00013917299997956434,9.163999993688776e-05
30,695,"(604, 16308)",9.749800005920406e-05,6.018099998073012e-05,103,175,7.304500002192071e-05,6.341799996789632e-05,6.45320000103311e-05,0.00010955200002626952,8.955400005561387e-05,0.00016609500005415612
31,9561,"(603, 1868)",8.737999996810686e-05,5.3279999974620296e-05,62,53,6.827799995789974e-05,5.787999998574378e-05,5.9514999975363025e-05,9.860300008313061e-05,9.300900001107948e-05,8.73820000606429e-05
32,14111,"(13153, 2054)",8.675200001562189e-05,5.5217000067386834e-05,71,72,6.849500005046139e-05,5.8863000049313996e-05,6.1407999965013e-05,9.99449999881108e-05,0.0002292909999823678,0.00017749400001321192
33,15627,"(5364, 3126)",0.0001022699999566612,5.412799998794071e-05,61,52,6.73810000080266e-05,5.891999990126351e-05,6.0071999996580416e-05,9.791600007247325e-05,0.00010268200003338279,0.00012553800002024218
34,8694,"(4336, 11003)",7.959499998833053e-05,6.12950000231649e-05,98,176,7.455299999037379e-05,6.581700006336177e-05,6.632600002376421e-05,0.00011041000004752277,9.777899992968742e-05,0.00019594200000483397
35,15377,"(6238, 8372)",8.340399995176995e-05,5.4352000006474555e-05,62,53,6.938899991837388e-05,5.918600004406471e-05,5.989800001771073e-05,9.794699997200951e-05,9.984200005419552e-05,9.682899997187633e-05
36,1204,"(7931, 6217)",0.00010150700006761326,6.087899998874491e-05,82,94,6.822099999226339e-05,5.9947000067950285e-05,6.1189000007289e-05,0.00010166599997774028,9.483100006946188e-05,8.822200004487968e-05
37,9997,"(8070, 14495)",0.00013358299997889844,5.6258000086018e-05,84,115,7.014499999513646e-05,6.138399999144895e-05,6.315999996786559e-05,0.00010374999999385182,9.432800004560704e-05,8.931899992603576e-05
38,11254,"(754, 1187)",0.00010175299996717513,5.9709999959522975e-05,96,153,7.429300001149386e-05,6.469799996011716e-05,6.580399997346831e-05,0.000135876000058488,0.00010207000002537825,9.00649999948655e-05
39,15825,"(2294, 7122)",8.882400004495139e-05,7.475699999304197e-05,73,74,7.447500001944718e-05,6.375299994942907e-05,6.414099993889977e-05,0.00010402500004147441,0.00010112100005699176,9.37160000376025e-05
40,6778,"(15630, 10799)",8.191999995688093e-05,6.404999999176653e-05,110,220,7.758399999602261e-05,6.765499995253776e-05,6.82910000477932e-05,0.00011331500002143002,0.00010337999992771074,0.00011101899997356668
41,10330,"(4518, 5399)",6.556499999987864e-05,5.523999993783946e-05,60,52,6.958200003737147e-05,5.985000007058261e-05,6.094399998346489e-05,9.919499996158265e-05,9.470499992403347e-05,8.939500003180001e-05
42,411,"(16311, 15688)",6.720399994719628e-05,6.064800004423887e-05,101,157,7.414100002733903e-05,6.388600002082967e-05,6.538599996019911e-05,0.00010813799997322349,0.00010101600003054045,8.956499993928446e-05
43,13049,"(7794, 3767)",8.560699995996401e-05,6.269199991493224e-05,119,237,7.779600002777443e-05,6.742400000803173e-05,6.86889999315099e-05,0.00011396200000035606,0.00011299099992356787,9.612799999558774e-05
44,14233,"(13855, 3569)",6.281399998897541e-05,5.6846999996196246e-05,78,115,9.387000000060652e-05,7.213099991076888e-05,7.559899995612795e-05,0.00011345300003995362,0.0001117180000846929,0.00011471700008769403
45,15929,"(15118, 2082)",7.113499998467887e-05,8.124400005726784e-05,115,239,9.789000000637316e-05,7.384900004581141e-05,7.243899995046377e-05,0.00012331300001733325,9.579199991094356e-05,0.0001023700000359895
46,13746,"(11502, 2368)",0.00010239400000955357,6.885299990244675e-05,134,361,8.298400007333839e-05,7.163100008256151e-05,7.145200004288199e-05,0.00012138099998537655,9.16410000399992e-05,8.599599993885931e-05
47,12272,"(4675, 14781)",9.24219999660636e-05,5.8706999993773934e-05,74,113,7.182899992130842e-05,6.226199991488102e-05,6.27399999757472e-05,0.00010429999997541017,9.97970000753412e-05,9.064300002137315e-05
