,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",0.0001252270000122735,0.00011577899999792862,477,675,9.874899990336417e-05,4.43129999894154e-05,4.6052000016061356e-05,6.029700000453886e-05,0.00013613100009024492,0.00024964099998214806
1,8771,"(15773, 8337)",4.8174999960792775e-05,2.1880999952372804e-05,125,169,3.974699995978881e-05,3.529200000684796e-05,4.3762000018432445e-05,4.992300000594696e-05,8.275700008653075e-05,7.146999996621162e-05
2,2856,"(15910, 12094)",4.0878000049815455e-05,2.192900001318776e-05,189,261,3.973000002588378e-05,3.231300001971249e-05,3.539599993018783e-05,4.341400006069307e-05,5.877600005987915e-05,5.1192999990234966e-05
3,13344,"(12030, 5184)",4.797200006123603e-05,2.0019999965370516e-05,445,618,3.737500003353489e-05,3.466900000148598e-05,3.853500004424859e-05,4.9963000037678285e-05,6.732900010320009e-05,5.024100005357468e-05
4,8734,"(14983, 16287)",2.8520000000753498e-05,2.092500005801412e-05,157,216,3.594099996462319e-05,3.3137000059468846e-05,3.6604999991141085e-05,4.545200010852568e-05,5.409599998529302e-05,5.064000004040281e-05
5,3529,"(2127, 4354)",2.9423999990285665e-05,2.1103999984006805e-05,301,420,3.71779999568389e-05,3.43560000146681e-05,3.718100003879954e-05,4.665300002670847e-05,5.4876999911357416e-05,5.362800004604651e-05
6,1250,"(4727, 14250)",2.988699998240918e-05,2.108699993641494e-05,525,738,3.963900007875054e-05,3.6628999964705145e-05,4.09680000075241e-05,5.0883000085377716e-05,5.221599997184967e-05,5.124300002989912e-05
7,12423,"(1621, 11816)",2.8466999992815545e-05,4.933000002438348e-05,41,57,3.6568000041370397e-05,3.172900005665724e-05,3.5443000001578184e-05,4.3081999933747284e-05,5.315700002483936e-05,4.994599999008642e-05
8,10885,"(12890, 16155)",3.345400000398513e-05,2.024200000505516e-05,89,122,3.4520999975029554e-05,3.329200001189747e-05,3.7301000020306674e-05,4.526499992607569e-05,5.1242999916212284e-05,5.05389999716499e-05
9,11167,"(6912, 6854)",3.3461999919381924e-05,2.181699994707742e-05,381,537,4.303000002892077e-05,3.6458999943533854e-05,3.8704999951733043e-05,4.827099996873585e-05,5.277399998249166e-05,5.0967999982276524e-05
10,1700,"(10765, 824)",2.6945999934469e-05,1.9738999981200323e-05,189,260,3.753199996481271e-05,3.398400008336466e-05,3.843699994376948e-05,4.82120000242503e-05,6.890800000292074e-05,5.342199995084229e-05
11,5231,"(6865, 7480)",2.6095999942299386e-05,2.056300002095668e-05,173,239,4.681500001879613e-05,3.6432999991120596e-05,4.193200004465325e-05,5.105200000343757e-05,5.3449999995791586e-05,4.936999994242797e-05
12,4425,"(5608, 4160)",2.8467999982240144e-05,2.123399997344677e-05,285,399,4.640400004518597e-05,3.985000000739092e-05,4.786499994224869e-05,0.0001372289999608256,5.298099995343364e-05,4.928299995299312e-05
13,11049,"(8588, 8110)",2.5195000034727855e-05,2.7746999990085897e-05,93,123,5.5810999924688076e-05,4.099799991763575e-05,6.349000000227534e-05,9.777899992968742e-05,5.255799999304145e-05,5.253799997717579e-05
14,10937,"(14267, 4482)",2.8023000027133094e-05,2.9377000032582146e-05,201,282,7.666900000913301e-05,5.835900003603456e-05,5.69000000041342e-05,6.42939999124792e-05,6.19300000153089e-05,5.5492000001322594e-05
15,8033,"(12533, 12403)",2.440499997646839e-05,2.9779999977108673e-05,41,56,7.3910000082833e-05,4.886099998202553e-05,5.549899992729479e-05,6.015199994635623e-05,5.7931000014832534e-05,5.5938999935278844e-05
16,5366,"(6238, 179)",2.561200005857245e-05,2.491700001883146e-05,93,124,5.5752999969627126e-05,5.083399992145132e-05,5.548499996166356e-05,5.980399998861685e-05,5.8319000004303234e-05,5.6664999988242926e-05
17,54,"(2092, 7438)",2.5319999963357986e-05,2.1243999981379602e-05,57,80,5.031299997426686e-05,4.032300000744726e-05,4.144699994412804e-05,7.984100000157923e-05,5.942699999650358e-05,5.6584000049042515e-05
18,14295,"(5243, 8089)",2.5067000024137087e-05,2.188500002375804e-05,57,79,4.061000004185189e-05,3.4770999945976655e-05,3.7812000073245144e-05,4.6770000039941806e-05,5.3429999979925924e-05,5.018399997425149e-05
19,2870,"(1760, 16332)",2.6885000011134252e-05,2.3852000026636233e-05,221,308,4.03059999598554e-05,3.502499998830899e-05,3.934200003641308e-05,4.882700000052864e-05,5.635200000142504e-05,5.002900002182287e-05
20,12373,"(11184, 11058)",2.7349999982106965e-05,2.2265999973569706e-05,361,513,4.5584000076814846e-05,3.7731000020357897e-05,4.2849000010392047e-05,5.185999998502666e-05,5.346800003280805e-05,5.378499997732433e-05
21,2289,"(6677, 12833)",7.914599996183824e-05,2.3146999978962413e-05,93,125,4.293999995752529e-05,3.742399997008761e-05,4.028000000744214e-05,6.775899998956447e-05,5.3987999990567914e-05,5.3212000011626515e-05
22,216,"(13019, 2113)",3.8927000105104526e-05,2.1942000103081227e-05,73,102,3.9523000054941804e-05,3.57679999751781e-05,4.103200001281948e-05,5.023300002449105e-05,4.802000000836415e-05,4.570500004774658e-05
23,10336,"(10190, 12460)",3.682500005197653e-05,2.1140000058039732e-05,125,169,3.9853000089351553e-05,3.409999999348656e-05,4.262900006324344e-05,4.994500000066182e-05,5.293499998515472e-05,5.173599993213429e-05
24,14690,"(5935, 13874)",3.7630999941029586e-05,2.1295999999892956e-05,57,79,3.68150000440437e-05,3.418500000407221e-05,3.942800003642333e-05,4.718599996067496e-05,5.6609000012031174e-05,5.594499998551328e-05
25,3343,"(5726, 10724)",3.546999994341604e-05,2.084600009766291e-05,41,57,3.5406000051807496e-05,3.2955000051515526e-05,3.2511999961570837e-05,2.9016999974373903e-05,5.7121000054394244e-05,4.835900006128213e-05
26,1438,"(7387, 11723)",8.185600006527238e-05,1.384899996992317e-05,93,125,2.4828000050547416e-05,1.9826000084322004e-05,2.185100004226115e-05,2.7163000027030648e-05,4.696899998180015e-05,4.5872999976381834e-05
27,3039,"(1225, 6065)",4.7945999995135935e-05,1.250499997240695e-05,41,56,3.276699999332777e-05,2.786799996101763e-05,3.1315999990511045e-05,4.19899999997142e-05,4.450799997357535e-05,4.1779999946811586e-05
28,4658,"(14333, 11195)",4.994300002181262e-05,2.0786999925803684e-05,157,216,3.703100003349391e-05,3.256799993778259e-05,3.577600000426173e-05,4.4479000052888296e-05,4.6431999976448424e-05,4.5563000071524584e-05
29,4136,"(15010, 3599)",4.682300004787976e-05,2.1592999928543577e-05,173,239,3.701000002820365e-05,3.1943000067258254e-05,3.668800002287753e-05,4.837699998461176e-05,4.5542999941972084e-05,6.557699998666067e-05
30,695,"(604, 16308)",6.532999998398736e-05,2.155200002107449e-05,137,193,3.552700002273923e-05,3.182699992976268e-05,3.33020000198303e-05,4.451899997093278e-05,4.7275999918383604e-05,4.418899993652303e-05
31,9561,"(603, 1868)",5.020699995839095e-05,1.961300006314559e-05,41,57,3.552599991962779e-05,3.189199992448266e-05,3.8153999980750086e-05,4.3933000029028335e-05,4.669899999498739e-05,4.344400008449156e-05
32,14111,"(13153, 2054)",5.447499995625549e-05,1.9952000002376735e-05,57,79,4.250599999977567e-05,3.376000006483082e-05,3.6580000028152426e-05,4.4001999981446716e-05,4.569600002923835e-05,4.978599997684796e-05
33,15627,"(5364, 3126)",6.549800002630946e-05,2.0924999944327283e-05,41,57,3.610900000694528e-05,3.2500000088475645e-05,3.35559999484758e-05,4.137799999170966e-05,5.427700000382174e-05,5.197699999826e-05
34,8694,"(4336, 11003)",0.00010969200002364232,2.264999989165517e-05,141,192,3.8771999925302225e-05,3.2112000099004945e-05,3.878500001519569e-05,4.806300000836927e-05,5.084800000076939e-05,4.981899996892025e-05
35,15377,"(6238, 8372)",6.172899998091452e-05,2.007000000503467e-05,41,57,3.598099999635451e-05,3.1953999950928846e-05,3.9558000025863294e-05,4.5723000084763044e-05,5.426699999588891e-05,4.8992000074576936e-05
36,1204,"(7931, 6217)",6.424499997592648e-05,1.972899997326749e-05,73,102,3.5146999948665325e-05,3.0916000014258316e-05,3.6366000017551414e-05,4.5769000053041964e-05,8.638999997856445e-05,5.276199999570963e-05
37,9997,"(8070, 14495)",6.253399999422982e-05,2.3737999981676694e-05,93,125,5.714000008083531e-05,4.090799995992711e-05,4.158700005518767e-05,4.7479000045314024e-05,7.25859999874956e-05,5.621200000405224e-05
38,11254,"(754, 1187)",8.729800003948185e-05,2.0967000068594643e-05,125,170,4.270900001301925e-05,3.794199994899827e-05,3.8963000065450615e-05,6.49160000421034e-05,6.27399999757472e-05,5.0560000090627e-05
39,15825,"(2294, 7122)",4.421699998147233e-05,2.1648000029017567e-05,57,80,0.00012344200001734862,6.424499997592648e-05,7.074199993439834e-05,0.00010651299999153707,5.084300005364639e-05,4.806499998721847e-05
40,6778,"(15630, 10799)",4.630000000815926e-05,3.206400003818999e-05,173,238,4.909700010102824e-05,3.807999996752187e-05,3.910700002052181e-05,6.549299996549962e-05,6.172600001264072e-05,4.780000006121554e-05
41,10330,"(4518, 5399)",3.9385000036418205e-05,1.9245999965278315e-05,41,57,3.543399998306995e-05,3.202999994300626e-05,3.509500004383881e-05,4.255700002886442e-05,4.695100005847053e-05,4.285600005005108e-05
42,411,"(16311, 15688)",4.1189999933521904e-05,1.8823000004886126e-05,121,171,3.298599995105178e-05,3.0417999937526474e-05,3.30560000065816e-05,4.177200003141479e-05,4.9689000093167124e-05,4.7093999910430284e-05
43,13049,"(7794, 3767)",4.2724999957499676e-05,1.9198000018150196e-05,189,261,3.390799997760041e-05,2.9290000043147302e-05,3.3983999969677825e-05,4.584200007684558e-05,4.4798999965678377e-05,4.505899994455831e-05
44,14233,"(13855, 3569)",3.7529999985963514e-05,1.9954999970650533e-05,93,123,2.5477000008322648e-05,2.0496000047387497e-05,2.4909999979172426e-05,4.2919000065921864e-05,5.135799995059642e-05,4.850999994232552e-05
45,15929,"(15118, 2082)",4.1061999922931136e-05,1.906600004986103e-05,185,258,3.465099996446952e-05,3.209499993772624e-05,3.74530000044615e-05,4.5611999894390465e-05,5.32509999402464e-05,4.988600005617627e-05
46,13746,"(11502, 2368)",4.4560999981513305e-05,2.13839999787524e-05,285,401,3.84779999649254e-05,3.106099995875411e-05,3.536799999892537e-05,4.6921000034672034e-05,5.00139999530802e-05,4.773399996338412e-05
47,12272,"(4675, 14781)",4.3752999999924214e-05,1.9156999996994273e-05,93,125,3.7539000004471745e-05,3.5330999935467844e-05,4.1291000002274814e-05,0.00011917800009086932,5.324200003542501e-05,5.063600008270441e-05
48,1043,"(7568, 4584)",4.0947000002233835e-05,2.4260000031972595e-05,233,326,3.879700000197772e-05,3.5671999967235024e-05,4.0730000023359025e-05,4.699200007962645e-05,5.252500000096916e-05,5.235100002209947e-05
49,5946,"(8161, 7306)",4.582200006097992e-05,1.9897000015589583e-05,57,80,3.5863999983121175e-05,3.3289999919361435e-05,3.7252000083753956e-05,4.097399994407169e-05,5.2288000006228685e-05,5.3872000080446014e-05
50,2706,"(8036, 5376)",5.228499992426805e-05,1.91739999308993e-05,189,260,3.7550000001829176e-05,3.1363999937639164e-05,3.538999999364023e-05,4.660900003727875e-05,5.109599999286729e-05,5.057299995314679e-05
51,15954,"(2789, 8708)",5.531600004360371e-05,1.876099997843994e-05,153,218,3.701100001762825e-05,3.4575000086078944e-05,3.546799996456684e-05,4.521599998952297e-05,5.7405999996262835e-05,6.180800005495257e-05
52,8581,"(10041, 3112)",6.933800000297197e-05,2.2046000026421098e-05,93,122,3.5932999935539556e-05,3.3528000017213344e-05,3.6311999906502024e-05,4.434699997091229e-05,8.42299999703755e-05,5.4568999985349365e-05
53,5574,"(7935, 7700)",5.1821999932144536e-05,2.1682000010514457e-05,93,125,3.846799995699257e-05,3.541199998835509e-05,3.997500004970789e-05,4.8195999966083036e-05,6.894499995269143e-05,5.8568999975250335e-05
54,10974,"(135, 8425)",0.00011770600008276233,2.1682999999939057e-05,89,121,3.57699999540273e-05,3.4258999903613585e-05,4.088100001808925e-05,4.655700001876539e-05,6.487699999979668e-05,5.853000004663045e-05
55,11040,"(12211, 11888)",6.345300005250465e-05,2.685599997676036e-05,185,260,4.064699999162258e-05,3.2706000069993024e-05,3.810200007592357e-05,4.4527000000016415e-05,6.315600001016719e-05,5.848000000696629e-05
56,12818,"(3784, 7833)",4.226499993364996e-05,1.8139999951927166e-05,57,80,3.653299995676207e-05,3.2571000019743224e-05,3.70650000149908e-05,4.338000007919618e-05,6.265499996516155e-05,5.515700001978985e-05
57,2401,"(10217, 462)",4.037499991227378e-05,2.0247999941602757e-05,73,102,3.695299994888046e-05,4.416899992065737e-05,4.0149000028577575e-05,4.658000000290485e-05,6.388899998910347e-05,5.830099996728677e-05
58,14967,"(2079, 9163)",4.973299996891001e-05,1.896699995995732e-05,121,172,4.53669999842532e-05,3.8509999967573094e-05,4.0925000007518975e-05,4.706200002146943e-05,7.519999996929982e-05,5.196500001147797e-05
59,12702,"(2584, 12989)",5.066599999281607e-05,2.0758000005116628e-05,93,122,3.816900004949275e-05,3.245900006731972e-05,3.7882000015088124e-05,4.382299994176719e-05,5.487999999331805e-05,5.596699998022814e-05
60,11013,"(8035, 12050)",5.021800006943522e-05,1.899700009744265e-05,41,56,4.3249999976069375e-05,3.3081000083257095e-05,3.7244999930408085e-05,4.263699997864023e-05,5.438300001969765e-05,5.094199991617643e-05
61,534,"(10957, 15271)",5.981999993309728e-05,2.0589999962794536e-05,297,421,3.806999995958904e-05,3.264700001182064e-05,3.7184999996497936e-05,4.6097999984340277e-05,5.090299998755654e-05,5.0385999998070474e-05
62,6195,"(6859, 14315)",5.696400000942958e-05,1.8145000012737e-05,41,57,3.7037999959466106e-05,3.199599996150937e-05,3.6011000020153006e-05,4.3444999960229325e-05,5.314800000633113e-05,4.886599992914853e-05
63,2888,"(15908, 1268)",5.197599989514856e-05,2.0172999938949943e-05,89,126,3.8223999922593066e-05,3.299499996956001e-05,3.9657999991504767e-05,4.692499999237043e-05,5.075600006421155e-05,4.581199993936025e-05
64,11911,"(2419, 1807)",4.920899993976491e-05,2.0370000015645928e-05,57,78,3.831100002571475e-05,3.2843000099092023e-05,3.5942000067734625e-05,4.731499996069033e-05,5.27519999877768e-05,4.872600004546257e-05
65,420,"(3537, 3303)",3.92780000311177e-05,2.077900001040689e-05,41,57,3.885500007072551e-05,3.346300002249336e-05,3.852600002574036e-05,4.576300000280753e-05,8.838600001581653e-05,6.815100005042041e-05
66,11531,"(15519, 12804)",4.779099992902047e-05,2.4100999894471897e-05,93,123,0.00010194499998306128,6.667499997092818e-05,4.619499998170795e-05,5.290700005389226e-05,5.798199993023445e-05,5.0647000080061844e-05
67,7508,"(6453, 343)",4.2201000042041414e-05,2.413299989711959e-05,125,170,4.1984999938904366e-05,3.48519999988639e-05,4.013200009467255e-05,5.14509999902657e-05,5.774200008090702e-05,5.5114000019784726e-05
68,13294,"(6673, 11369)",4.4637000087277556e-05,2.2127000079308345e-05,73,102,3.508099996452074e-05,3.182000000379048e-05,3.59079999725509e-05,4.233300001033058e-05,5.647499995120597e-05,5.6324999945900345e-05
69,16417,"(5002, 4235)",5.0337000061517756e-05,2.1830000036970887e-05,241,329,3.78449999516306e-05,3.46059999856152e-05,3.893499990681448e-05,5.04220000721034e-05,5.70119999565577e-05,5.7816999969872995e-05
70,1957,"(5369, 9915)",3.907299992533808e-05,2.0511000002443325e-05,157,213,3.522099996189354e-05,3.085100001953833e-05,3.38270000384e-05,4.271800003152748e-05,5.562199999076256e-05,4.8278000008394883e-05
71,9427,"(8511, 2063)",4.7627999947508215e-05,2.0622999954866827e-05,125,168,3.6367000006976014e-05,3.256200000123499e-05,3.761200002827536e-05,6.49199999998018e-05,5.406000002494693e-05,5.241899998509325e-05
72,16212,"(14643, 597)",5.775399995400221e-05,2.219200007402833e-05,41,57,3.908299993327091e-05,3.429299999879731e-05,3.62910000148986e-05,4.1288000034001016e-05,5.6701999938013614e-05,5.856699999640114e-05
73,7647,"(2947, 8994)",5.032699993989809e-05,2.2039999976186664e-05,93,124,4.31529999787017e-05,3.5873999991054006e-05,4.172000001290144e-05,8.367099997030891e-05,5.617099998289632e-05,6.855800006633217e-05
