,idx_unary,idx_binary,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.BOUNDING_BOX,ET.ADD_VERTEX,ET.IS_INTERSECTING,ET.INTERSECTION
0,1715,"(10832, 9230)",4.067500003657187e-05,2.337899991289305e-05,477,675,5.627099994853779e-05,2.098300001307507e-05,2.3212999963106995e-05,2.66949999740973e-05,6.851000000551721e-05,4.4584999955077365e-05
1,8771,"(15773, 8337)",2.8293000013945857e-05,1.1008999990735902e-05,125,169,1.9863000034092693e-05,1.600599989615148e-05,1.8048000015369325e-05,2.1875000015825208e-05,5.3119000085644075e-05,3.813500006799586e-05
2,2856,"(15910, 12094)",2.4307000103362952e-05,1.082799997220718e-05,189,261,1.963600004728505e-05,1.54340000335651e-05,1.7185000046993082e-05,2.125799994701083e-05,4.713199996331241e-05,3.3287999940512236e-05
3,13344,"(12030, 5184)",2.540699995279283e-05,1.0833999908754777e-05,445,618,1.991499993891921e-05,1.56810000362384e-05,3.536999997777457e-05,2.4283000016112055e-05,4.5563000071524584e-05,3.0735999985154194e-05
4,8734,"(14983, 16287)",2.9173999905651726e-05,1.0738000014498539e-05,157,216,2.371999994466023e-05,1.6292999930556107e-05,1.7694000007395516e-05,2.2152000042297004e-05,6.461700002091675e-05,3.199200000381097e-05
5,3529,"(2127, 4354)",3.474800007552403e-05,1.1041999982808193e-05,301,420,2.0022000057906553e-05,1.5848999964873656e-05,1.742899996770575e-05,2.2744000034435885e-05,4.365699999198114e-05,3.2477999980073946e-05
6,1250,"(4727, 14250)",3.3892000033119984e-05,1.1093000011896947e-05,525,738,3.706800009695144e-05,1.600200005213992e-05,1.8311000076209893e-05,2.420900000288384e-05,3.303800008325197e-05,3.0417000061788713e-05
7,12423,"(1621, 11816)",5.668500000410859e-05,1.0867000014513906e-05,41,57,1.9528999928297708e-05,1.5240000038829749e-05,1.7224000089299807e-05,2.0224999957463297e-05,3.0587999958697765e-05,2.806099996632838e-05
8,10885,"(12890, 16155)",3.623600002811145e-05,1.032600005146378e-05,89,122,1.901200005249848e-05,1.5293000046767702e-05,1.710700007606647e-05,2.1444000026349386e-05,2.975099994273478e-05,2.800599997954123e-05
9,11167,"(6912, 6854)",2.9204000043137057e-05,1.1308000011922559e-05,381,537,2.043899996806431e-05,1.6267999967567448e-05,1.8211999986306182e-05,2.3648000023968052e-05,3.036400005385076e-05,2.8727999961120076e-05
10,1700,"(10765, 824)",2.4554999981774017e-05,1.1462000088613422e-05,189,260,2.061700001831923e-05,1.6147999986060313e-05,1.8579000084173458e-05,2.29329999683614e-05,2.9649999987668707e-05,2.8452000037759717e-05
11,5231,"(6865, 7480)",2.850600003512227e-05,1.1270000072727271e-05,173,239,2.052800005003519e-05,1.6079000033641933e-05,1.808999991226301e-05,2.3016999989522446e-05,2.9745999995611783e-05,2.781000000595668e-05
12,4425,"(5608, 4160)",3.1907999982649926e-05,1.1453999945842952e-05,285,399,3.1087000024854206e-05,2.034499993897043e-05,2.1864000018467777e-05,2.6333999926464458e-05,2.9389000019364175e-05,2.7530000011211087e-05
13,11049,"(8588, 8110)",2.6983999987351126e-05,1.64580000046044e-05,93,123,2.2844000000077358e-05,1.728199993067392e-05,1.9506000057845085e-05,2.337699993404385e-05,2.9457999971782556e-05,2.8722999900310242e-05
14,10937,"(14267, 4482)",2.6993000005859358e-05,1.1577999998735322e-05,201,282,2.1083999968141143e-05,1.630999997814797e-05,1.829500001804263e-05,2.3532000000159314e-05,3.007800000887073e-05,2.8684999961114954e-05
15,8033,"(12533, 12403)",2.4227000039900304e-05,1.1219999919376278e-05,41,56,2.0769999991898658e-05,1.5903999951660808e-05,1.780599995981902e-05,2.259499990486802e-05,2.8736999979628308e-05,2.7164000016455248e-05
16,5366,"(6238, 179)",2.3872000042501895e-05,1.1857000004056317e-05,93,124,2.0912999957545253e-05,1.669799996761867e-05,1.8733999922915245e-05,2.33189999789829e-05,2.9208000000835455e-05,2.6961000003211666e-05
17,54,"(2092, 7438)",2.421900001081667e-05,1.1437000011937926e-05,57,80,2.0530000028884388e-05,1.679900003637158e-05,1.8285000010109798e-05,2.196599996295845e-05,2.9033000032541167e-05,2.7168999963578244e-05
18,14295,"(5243, 8089)",2.3579000071549672e-05,1.0825000003933383e-05,57,79,2.0092999989174132e-05,1.6005000020413718e-05,1.7464000052314077e-05,2.1625000044878107e-05,2.9199999971751822e-05,2.717100005611428e-05
19,2870,"(1760, 16332)",2.522299996599031e-05,1.2200000014672696e-05,221,308,2.1066000044811517e-05,1.6382000012526987e-05,1.871300003131182e-05,2.4010000061025494e-05,2.7875999990101263e-05,2.6230000003124587e-05
20,12373,"(11184, 11058)",2.5480999966021045e-05,1.1862999940603913e-05,361,513,2.0806000065931585e-05,1.6477000031045463e-05,1.81479999810108e-05,2.4522999979126325e-05,2.8935000045748893e-05,2.7110000019092695e-05
21,2289,"(6677, 12833)",2.350199997636082e-05,1.1833000030492258e-05,93,125,2.0944999960192945e-05,1.6718999972908932e-05,1.8174000047110894e-05,2.2870000066177454e-05,2.9470999947989185e-05,2.7797000029750052e-05
22,216,"(13019, 2113)",2.3269000053005584e-05,1.1603000075410819e-05,73,102,2.0736999999826367e-05,1.631900011034304e-05,1.780200000212062e-05,2.2732999923391617e-05,2.743300001384341e-05,2.568100001099083e-05
23,10336,"(10190, 12460)",2.356000004510861e-05,1.1701999937940855e-05,125,169,2.205300006608013e-05,1.6086999949038727e-05,1.9471999962661357e-05,2.3763999934089952e-05,2.8844999974353414e-05,2.7380999995330058e-05
24,14690,"(5935, 13874)",2.349299995785259e-05,1.1734000054275384e-05,57,79,2.071199992315087e-05,3.825000010238e-05,7.336700002724683e-05,7.86719999723573e-05,3.096699992966023e-05,2.9694000090785266e-05
25,3343,"(5726, 10724)",2.262499992866651e-05,1.557199993840186e-05,41,57,2.3872000042501895e-05,1.8951000015476893e-05,2.0682000013039215e-05,3.5840000009557116e-05,2.8906000011375e-05,2.697899992654129e-05
26,1438,"(7387, 11723)",2.9491999953279446e-05,1.264100001208135e-05,93,125,2.5523999966026167e-05,1.8950000026052294e-05,2.1506999928533332e-05,2.5378000032105774e-05,2.927100001670624e-05,2.7929999987463816e-05
27,3039,"(1225, 6065)",2.2635999926023942e-05,1.1131999940516835e-05,41,56,2.491600002940686e-05,2.0797999923161115e-05,2.175800000259187e-05,2.2381999997378443e-05,2.8476000011323777e-05,2.697600007195433e-05
28,4658,"(14333, 11195)",2.399400000285823e-05,1.175299996702961e-05,157,216,2.103099996020319e-05,1.6874000039024395e-05,1.862699991761474e-05,2.286300002651842e-05,2.7735999992728466e-05,2.6651999974092178e-05
29,4136,"(15010, 3599)",3.642699994088616e-05,1.103499994314916e-05,173,239,2.0625999923140625e-05,1.6213999970204895e-05,1.80310000814643e-05,2.3360999989563425e-05,2.8581000037775084e-05,2.6720999926510558e-05
30,695,"(604, 16308)",2.918099994531076e-05,1.105799992728862e-05,137,193,2.015200004734652e-05,1.6217999927903293e-05,1.7797000054997625e-05,2.2549000050275936e-05,4.313800002364587e-05,3.091300004598452e-05
31,9561,"(603, 1868)",3.562900008091674e-05,1.0562999932517414e-05,41,57,1.952599996002391e-05,1.5848000089135894e-05,1.7464000052314077e-05,2.1317999994607817e-05,4.574399997636647e-05,2.9676000053768803e-05
32,14111,"(13153, 2054)",3.559300000688381e-05,1.063499996689643e-05,57,79,1.9055999928241363e-05,1.5723999922556686e-05,1.7533000004732457e-05,2.178399995500513e-05,3.130800007511425e-05,2.7551000016501348e-05
33,15627,"(5364, 3126)",3.376100005425542e-05,1.0698999972191814e-05,41,57,1.945700000760553e-05,1.5582000060021528e-05,1.7087000060200808e-05,2.0979000055376673e-05,6.270000005770271e-05,2.9882000035286183e-05
34,8694,"(4336, 11003)",2.555499997924926e-05,1.130600003307336e-05,141,192,2.0610999968084798e-05,1.5915999938442837e-05,1.777099998889753e-05,2.2610999963035283e-05,3.100100002484396e-05,2.8649000000768865e-05
35,15377,"(6238, 8372)",3.638100008629408e-05,2.3026999997455277e-05,41,57,2.2742999931324448e-05,1.8006999994213402e-05,1.996999992570636e-05,2.3805999944670475e-05,3.2842999985405186e-05,2.923600004578475e-05
36,1204,"(7931, 6217)",4.035799997836875e-05,1.1094999990746146e-05,73,102,2.7397000053497322e-05,1.922899991768645e-05,2.075500003684283e-05,2.4899999971239595e-05,3.0361999961314723e-05,2.8150999924037023e-05
37,9997,"(8070, 14495)",3.7962999954288534e-05,1.2441999956536165e-05,93,125,2.1897999999964668e-05,1.7282000044360757e-05,2.766599993719865e-05,2.7773999931923754e-05,3.008199996656913e-05,2.8184000029796152e-05
38,11254,"(754, 1187)",3.941799991480366e-05,2.8030000066792127e-05,125,170,2.5809000021581596e-05,1.9128000076307217e-05,2.083399999719404e-05,2.5331000074402255e-05,3.0052000056457473e-05,2.7339999974174134e-05
39,15825,"(2294, 7122)",3.6421999993763166e-05,1.1849999964397284e-05,57,80,2.0876999997199164e-05,1.6658999925311946e-05,1.865700005510007e-05,2.305800001067837e-05,3.103400001691625e-05,2.913599996645644e-05
