,idx,ET.COMP_TIME,ET.DECOMP_TIME,ET.COMP_SIZE,ET.DECOMP_SIZE,ET.VERTICES,ET.TYPE,ET.VERTEX_COUNT,ET.AREA,ET.LENGTH
0,2403.0,2.2558961499998986,1.2006543160005094,3317260.0,5048417.0,9.237500034942059e-05,4.002600053354399e-05,2.6044000151159707e-05,2.979300006700214e-05,2.681299974938156e-05
1,10559.0,2.123572137999872,1.1333373710003798,3317260.0,5048417.0,8.13430006019189e-05,2.7612999474513344e-05,1.5375000657513738e-05,1.8419999832985923e-05,1.5759999769215938e-05
2,16171.0,2.093909617999998,1.1980920430005426,3317260.0,5048417.0,8.019299912120914e-05,2.860099993995391e-05,1.414399957866408e-05,1.6759000573074445e-05,1.4836999980616383e-05
3,1989.0,2.120845763000034,1.2584500670000125,3317260.0,5048417.0,8.463100039080018e-05,3.2687000384612475e-05,1.9270999473519623e-05,2.1221000679361168e-05,1.9000999600393698e-05
4,8688.0,2.054132184000082,1.126125710999986,3317260.0,5048417.0,8.430799971392844e-05,3.092200040555326e-05,1.6209999557759147e-05,1.9667999367811717e-05,1.7282000044360757e-05
5,16435.0,2.1165792289993988,1.1211007190004239,3317260.0,5048417.0,9.624900030757999e-05,4.1571000110707246e-05,2.7207999664824456e-05,3.056700006709434e-05,2.7578999834076967e-05
6,542.0,2.1177811600000496,1.2265825220001716,3317260.0,5048417.0,7.814900072844466e-05,2.9074999474687502e-05,2.9918999643996358e-05,1.6397999388573226e-05,1.4124999324849341e-05
7,6128.0,2.0552375310007847,1.1522917169995708,3317260.0,5048417.0,8.041599994612625e-05,2.7551000130188186e-05,1.430000065738568e-05,1.7926000509760343e-05,1.5327999790315516e-05
8,14692.0,2.278702699999485,1.1504315619995396,3317260.0,5048417.0,9.755500013852725e-05,4.168600025877822e-05,2.873799985536607e-05,3.1227999897964764e-05,2.923399915744085e-05
9,9133.0,2.159802793000381,1.1882569950003017,3317260.0,5048417.0,7.937400005175732e-05,2.887899972847663e-05,1.6001999938453082e-05,1.993000023503555e-05,1.7690000277070794e-05
10,7216.0,2.267466768000304,1.1830198549996567,3317260.0,5048417.0,8.467899988318095e-05,2.7832999876409303e-05,1.4711999938299414e-05,1.848299962148303e-05,1.4960000044084154e-05
11,14461.0,2.249674571000469,1.212423121000029,3317260.0,5048417.0,7.698199988226406e-05,2.6184000489593018e-05,1.2945999515068252e-05,1.5961999451974407e-05,1.3670000043930486e-05
12,7701.0,2.216598144999807,1.2436002480008028,3317260.0,5048417.0,7.777599967084825e-05,2.7814000532089267e-05,1.4459999874816276e-05,1.7858999854070134e-05,1.5253000128723215e-05
13,5775.0,2.261310386000332,1.2152286660002574,3317260.0,5048417.0,8.472700028505642e-05,3.302899949630955e-05,1.9007000446435995e-05,2.244100051029818e-05,1.9455999790807255e-05
14,14698.0,2.275959681999666,1.2123817649999182,3317260.0,5048417.0,0.00014241999997466337,3.775999994104495e-05,1.5886999790382106e-05,1.912199968501227e-05,1.640699974814197e-05
15,2877.0,2.2902997920000416,1.186520850999841,3317260.0,5048417.0,0.0001080940000974806,4.710099983640248e-05,3.372100036358461e-05,3.7989000702509657e-05,3.517500044836197e-05
16,2595.0,2.2443585270002586,1.1411665260002337,3317260.0,5048417.0,8.625500049674883e-05,3.290699987701373e-05,1.6441999832750298e-05,2.0274000235076528e-05,1.6508999578945804e-05
17,9504.0,2.260486770999705,1.1663629529994068,3317260.0,5048417.0,9.95599993984797e-05,3.510100032144692e-05,1.77590000021155e-05,2.1453000044857617e-05,1.824100036174059e-05
18,8486.0,2.3340090199999395,1.2388055600004009,3317260.0,5048417.0,8.664600045449333e-05,8.014499962882837e-05,1.9778999558184296e-05,2.3069999770086724e-05,2.034599947364768e-05
19,13550.0,2.296528605000276,1.2183532280005238,3317260.0,5048417.0,7.907199960754951e-05,2.945100004581036e-05,1.4846000340185128e-05,1.8411999917589128e-05,1.563200021337252e-05
20,5841.0,2.303894197999398,1.3196978890000537,3317260.0,5048417.0,9.048500032804441e-05,2.907799989770865e-05,1.4927999473002274e-05,1.7731000298226718e-05,1.5982000149961095e-05
21,16162.0,2.3550110340001993,1.200645083999916,3317260.0,5048417.0,8.893300037016161e-05,3.469700004643528e-05,2.0920000679325312e-05,2.4293000024044886e-05,2.1799000023747794e-05
22,6037.0,2.3353464259998873,1.2213683310001215,3317260.0,5048417.0,7.390799964923644e-05,2.9182000616856385e-05,1.262400019186316e-05,1.54310000652913e-05,1.2823999895772431e-05
23,14713.0,2.3010158110000702,1.2226058269998248,3317260.0,5048417.0,8.486800015816698e-05,3.134200051135849e-05,1.86870001925854e-05,2.1552999896812253e-05,1.932499981194269e-05
24,11618.0,2.297480505000749,1.2368684249995567,3317260.0,5048417.0,7.724100032646675e-05,2.6093000087712426e-05,1.2554000022646505e-05,1.5171000086411368e-05,1.3154999578546267e-05
25,10024.0,2.3102485900008105,1.2063744330007466,3317260.0,5048417.0,7.415500022034394e-05,2.6833999982045498e-05,1.3451000086206477e-05,1.5423999684571754e-05,1.3279000086185988e-05
26,2247.0,2.2894568259998778,1.2091391049998492,3317260.0,5048417.0,0.00015294900003937073,5.311999939294765e-05,3.238599947508192e-05,1.774500015017111e-05,1.54330000441405e-05
27,12597.0,2.310964209999838,1.2847291819998645,3317260.0,5048417.0,0.00011105700014013564,4.8584000069240574e-05,3.519200072332751e-05,3.639900023699738e-05,2.9353000172704924e-05
28,13311.0,2.2586016339992057,1.1911165829997117,3317260.0,5048417.0,8.999700003187172e-05,3.0377999792108312e-05,1.545799932500813e-05,1.8824000107997563e-05,1.650000012887176e-05
29,12300.0,2.283228183000574,1.198469756999657,3317260.0,5048417.0,8.988199988380075e-05,3.666300017357571e-05,2.1769999875687063e-05,2.500000027794158e-05,2.324799970665481e-05
mean,9281.766666666666,2.2372799650000466,1.2021400137333937,3317260.0,5048417.0,9.047596674160256e-05,3.5063566701865054e-05,1.9491333296173254e-05,2.1484866708002906e-05,1.8806533231933522e-05
